site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
10,13,-0.04243724586353068,-0.042437245863532265,-0.04243724586353156,-4.336808689942018e-18j,1.6479873021779667e-17j,-2.706168622523819e-16,-1.734723475976807e-18,-1.214306433183765e-17j,2.078198724220215e-15j
10,14,-0.04243724586353068,-0.042437245863532265,-0.04243724586353156,-4.336808689942018e-18j,1.6479873021779667e-17j,-2.706168622523819e-16,-1.734723475976807e-18,-1.214306433183765e-17j,2.078198724220215e-15j
10,15,-0.04243724586353068,-0.042437245863532265,-0.04243724586353156,-4.336808689942018e-18j,1.6479873021779667e-17j,-2.706168622523819e-16,-1.734723475976807e-18,-1.214306433183765e-17j,2.078198724220215e-15j
11,12,0.03681487016224974,0.03681487016225049,0.03681487016225021,-6.860966872759833e-19j,-6.860966872759833e-19j,1.681373105793995e-16,7.665648172651418e-19,5.916525136571288e-19j,-9.237902259015378e-16j
11,13,0.03681487016224974,0.03681487016225049,0.03681487016225021,-6.860966872759833e-19j,-6.860966872759833e-19j,1.681373105793995e-16,7.665648172651418e-19,5.916525136571288e-19j,-9.237902259015378e-16j
11,14,0.03681487016224974,0.03681487016225049,0.03681487016225021,-6.860966872759833e-19j,-6.860966872759833e-19j,1.681373105793995e-16,7.665648172651418e-19,5.916525136571288e-19j,-9.237902259015378e-16j
11,15,0.03681487016224974,0.03681487016225049,0.03681487016225021,-6.860966872759833e-19j,-6.860966872759833e-19j,1.681373105793995e-16,7.665648172651418e-19,5.916525136571288e-19j,-9.237902259015378e-16j
12,13,-0.07295678088250535,-0.07295678088250612,-0.07295678088250586,-9.107298248878237e-18j,4.7704895589362195e-18j,-6.201636426617085e-17,1.3010426069826053e-18,-2.168404344971009e-18j,9.224392083506672e-16j
12,14,-0.07295678088250535,-0.07295678088250612,-0.07295678088250586,-9.107298248878237e-18j,4.7704895589362195e-18j,-6.201636426617085e-17,1.3010426069826053e-18,-2.168404344971009e-18j,9.224392083506672e-16j
12,15,-0.07295678088250535,-0.07295678088250612,-0.07295678088250586,-9.107298248878237e-18j,4.7704895589362195e-18j,-6.201636426617085e-17,1.3010426069826053e-18,-2.168404344971009e-18j,9.224392083506672e-16j
13,14,0.06628247395699496,0.06628247395699531,0.06628247395699505,-5.49679384142718e-18j,8.380993966387276e-18j,4.747165447942388e-16,3.916415650307868e-18,3.4045430523702534e-18j,6.70868623071127e-17j
13,15,0.06628247395699496,0.06628247395699531,0.06628247395699505,-5.49679384142718e-18j,8.380993966387276e-18j,4.747165447942388e-16,3.916415650307868e-18,3.4045430523702534e-18j,6.70868623071127e-17j
14,15,-0.21820358826780167,-0.2182035882678019,-0.21820358826780129,-6.938893903907228e-18j,-6.938893903907228e-18j,-1.115427195053087e-15,0.0,0j,-6.999609225566417e-16j
